artwork_id,image_id,date,series,title_fr,title_en,title_lang,medium,support,width_cm,height_cm,width_in,height_in,tags,show,favorite,guardian,guardian_kind,display_location,display_url,display_until,available_from,availability_details,notes,extra_credits,license_name,license_url,original_url
mj-20221023,img-20221023,2022-10-23,ser-20220305,organique,Organic,fr,acrylic marker on paper,paper,,,12,9,,1,0,Martin Jambon,artist,,,,2022-10-23,,,,,,
mj-20221017,img-20221017,2022-10-17,,la ville,The City,en,oil on brass leaf on canvas,canvas,,,8,8,,1,0,Martin Jambon,artist,,,,2022-10-17,,,,,,
mj-20221016-3,img-20221016-3,2022-10-16,ser-20220305,,Rock and Roll,en,acrylic marker on paper,paper,29.7,21,,,,1,0,Martin Jambon,artist,,,,2022-10-16,,,,,,
mj-20221016-2,img-20221016-2,2022-10-16,,vert,Green,en,oil on canvas,canvas,,,8,8,,1,0,Martin Jambon,artist,,,,2022-10-16,,,,,,
mj-20221016-1,img-20221016-1,2022-10-16,,,,en,oil on canvas,canvas,,,8,8,,1,0,Martin Jambon,artist,,,,2022-10-16,,,,,,
mj-20221002-2,img-20221002-2,2022-10-02,,,Floating Blobs,en,acrylic marker on canvas,canvas,,,14,11,,1,0,Martin Jambon,artist,,,,2022-10-02,,,,,,
mj-20221002-1,img-20221002-1,2022-10-02,,l'inéluctable émergence de Kim Kardashian,The Inevitable Emergence of Kim Kardashian,fr,acrylic paint on paper,paper,29.7,21,,,,1,0,Martin Jambon,artist,,,,2022-10-02,,,,,,
mj-20220929,img-20220929,2022-09-29,,nos ancêtres les Barbapapa,"Our Ancestors, the Barbapapas",fr,acrylic marker on paper,paper,29.7,21,,,,1,0,Martin Jambon,artist,,,,2022-09-29,,,,,,
mj-20220927-4,img-20220927-4,2022-09-27,,pomme no. 2,Apple #2,en,acrylic marker on paper,paper,29.7,21,,,,1,0,Martin Jambon,artist,,,,2022-09-27,,,,,,
mj-20220927-3,img-20220927-3,2022-09-27,,,,,acrylic marker on paper,paper,29.7,21,,,,0,0,Martin Jambon,artist,,,,2022-09-27,,,,,,
mj-20220927-2,img-20220927-2,2022-09-27,,,,,acrylic marker on paper,paper,29.7,21,,,,0,0,Martin Jambon,artist,,,,2022-09-27,,,,,,
mj-20220927-1,img-20220927-1,2022-09-27,,,,,acrylic marker on paper,paper,29.7,21,,,,0,0,Martin Jambon,artist,,,,2022-09-27,,,,,,
mj-20220924,img-20220924,2022-09-24,,encerclement,Surrounding,fr,acrylic marker on canvas,canvas,,,14,11,,1,1,Martin Jambon,artist,,,,2022-09-24,,,,,,
mj-20220922,img-20220922,2022-09-22,,écosystème flambant neuf,Brand New Ecosystem,fr,acrylic marker on canvas,canvas,,,14,11,,1,0,Martin Jambon,artist,,,,2023-08-29,,,,,,
mj-20220917,img-20220917,2022-09-17,,pomme,Apple,en,acrylic paint and metal on canvas,canvas,,,8,8,,1,0,Martin Jambon,artist,,,,2022-09-17,,,,,,
mj-20220907-2,img-20220907-2,2022-09-07,,,Look on Down from the Bridge (after Mazzy Star),en,acrylic marker on canvas,canvas,,,14,11,monochrome,1,0,Martin Jambon,artist,,,,2022-09-07,,,,,,
mj-20220907-1,img-20220907-1,2022-09-07,,la vie telle qu’on la connaît,Life as We Know It,en,acrylic marker on canvas,canvas,,,14,11,,1,0,Martin Jambon,artist,,,,2023-08-29,,,,,,
mj-20220905,img-20220905,2022-09-05,,tout,Everything,en,acrylic marker on canvas,canvas,,,8,8,,1,0,Martin Jambon,artist,,,,2022-09-05,,,,,,
mj-20220903,img-20220903,2022-09-03,,vendredi,Friday,en,acrylic marker on canvas,canvas,,,8,8,,1,0,Martin Jambon,artist,,,,2022-09-03,,,,,,
mj-20220831,img-20220831,2022-08-31,,ego,Ego,en,acrylic on canvas,canvas,,,40,30,,1,0,Martin Jambon,recycled,,,,,,,,,,
mj-20220827,img-20220827,2022-08-27,,violence,Violence,en,acrylic marker on canvas,canvas,,,40,30,for-rent,1,0,Martin Jambon,artist,,,,2023-10-01,on hold for Hang Art until October 1,,,,,
mj-20220821,img-20220821,2022-08-21,,rose et or,Pink and Gold,en,"aluminum, plaster, paint",,,,,,sculpture,1,0,Martin Jambon,artist,,,,2022-08-21,,,,,,
mj-20220820-2,img-20220820-2,2022-08-20,,San Francisco,San Francisco,en,acrylic marker on canvas,canvas,,,14,11,,1,1,Martin Jambon,artist,,,,2023-08-29,,,,,,
mj-20220820-1,img-20220820-1,2022-08-20,,ensoleillement,Sunshine,en,acrylic marker on canvas,canvas,,,18,14,monochrome,1,0,Martin Jambon,artist,,,,2022-08-20,,,,,,
mj-20220813,img-20220813,2022-08-13,,le paradis et l’enfer mais surtout l’enfer,Heaven and Hell but Mostly Hell,en,acrylic marker on canvas,canvas,,,14,11,,1,1,Martin Jambon,artist,,,,2023-08-29,,,,,,
mj-20220803-2,img-20220803-2,2022-08-03,ser-20220305,débris spatiaux,Space Debris,en,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,artist,,,,2022-08-03,,,,,,
mj-20220803-1,img-20220803-1,2022-08-03,ser-20220305,bien établi,Settled,en,acrylic marker on white paper,paper,,,12,9,,1,1,Martin Jambon,artist,,,,2022-08-03,,,,,,
mj-20220801-2,img-20220801-2,2022-08-01,ser-20220305,pépite spatiale,Space Nugget,en,acrylic marker on white paper,paper,,,12,9,,1,1,Martin Jambon,artist,,,,2022-08-01,,,,,,
mj-20220801-1,img-20220801-1,2022-08-01,ser-20220305,réorganisation,Reorganization,en,acrylic marker on white paper,paper,,,12,9,,1,0,Martin Jambon,artist,,,,2022-08-01,,,,,,
mj-20220731,img-20220731,2022-07-31,ser-20220305,plis,Wrinkles,en,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,artist,,,,2022-07-31,,,,,,
mj-20220710,img-20220710,2022-07-10,ser-20220305,,,,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,artist,,,,2022-07-10,,The date is approximate,,,,
